layer,3-Way LR,3-Way MLP,Cascaded LR,Cascaded MLP
0,0.4128847943927954,0.5142348252062175,0.2864385297845374,0.5288288288288289
1,0.3997168988223242,0.5078619905957799,0.3035825222613377,0.5000744158356898
2,0.4229567964665812,0.5302681778710425,0.3204261421839787,0.5090963316433045
3,0.4269273863180764,0.4965952959676139,0.3312587833768319,0.4807350326022525
4,0.5370655430247415,0.568884885897859,0.4237560192616372,0.5670662100456622
5,0.5862801628572314,0.6097501081360058,0.517909957279001,0.6062154108131119
6,0.5601825641698048,0.580463517343879,0.4786528321143051,0.5822349570200573
7,0.5343404818405505,0.5707265405333539,0.4531195538515162,0.5683877462965626
8,0.590089943312615,0.6049162838036024,0.5183620409489763,0.5984880901440593
9,0.6098973238322769,0.6252288079096384,0.5811240721102863,0.6364794113485213
10,0.6159847587934575,0.6395778669688023,0.5942684766214178,0.6402705368465549
11,0.6235884124764008,0.6341761646791589,0.6093351343238781,0.6367509230332292
12,0.6335697162536592,0.6517270335427265,0.6260610573343262,0.6444789169369624
13,0.6462508659090981,0.6512011157794624,0.6463074438408457,0.6574570059204962
14,0.6488405960680871,0.6626026637862863,0.6503803393797543,0.6667599720083974
15,0.6782911702657383,0.6743340694789985,0.6758043572356082,0.6812570145903479
16,0.6815855646882072,0.6855561849620246,0.6820223091409532,0.6912994980479643
17,0.6906346677602865,0.681056949987123,0.695137786755158,0.6958339138915982
18,0.7128961117254315,0.6926112164293374,0.7104469032907027,0.7067147613762487
19,0.7195803406898635,0.7032237146626397,0.7197606496651945,0.7048125349748181
20,0.7167031676599928,0.7016709838902461,0.7192411156732267,0.7042292710072343
21,0.7000816104579348,0.7024986645605307,0.704642551979493,0.7049882548017135
22,0.7003808370617224,0.6928670044647277,0.7022247575584712,0.6986452861487421
23,0.6980087560089696,0.6880645987707483,0.6963574274331247,0.6950792093088463
24,0.6906556618792831,0.6823882346166199,0.6902629708599858,0.6949785585834832
25,0.6849912168449167,0.6884419824590529,0.6826074580130942,0.6879175946547884
26,0.6863552922736824,0.6805426977143517,0.682460396746111,0.6904962153069807
27,0.6759435491697241,0.6765751481714835,0.6729912318528101,0.6741667838559977
