layer,explained_var
0,0.9849437475204468
1,0.9042254686355591
2,0.9224279522895813
3,0.8944977521896362
4,0.8846050500869751
5,0.9037002921104431
6,0.8957072496414185
7,0.9160664081573486
8,0.9507750272750854
9,0.9493964314460754
10,0.9318771958351135
11,0.9084181785583496
12,0.8880274295806885
13,0.887607216835022
14,0.8914250135421753
15,0.8932321071624756
16,0.8696277141571045
17,0.8978960514068604
18,0.9049826860427856
19,0.8974318504333496
20,0.8640943765640259
21,0.8628556132316589
22,0.8468146324157715
23,0.8502479195594788
24,0.8562801480293274
25,0.8538634777069092
26,0.8616700172424316
27,0.8724263310432434
28,0.8879917860031128
29,0.9114689230918884
30,0.9040311574935913
31,0.89909428358078
32,0.8941392302513123
33,0.8886171579360962
34,0.8838945627212524
35,0.8781994581222534
36,0.8700191974639893
37,0.8603154420852661
38,0.8499521017074585
39,0.8363218307495117
40,0.8276685476303101
41,0.8389753103256226
