vector_type,layer,alpha,pct_changed,mean_word_diff,baseline_correct_rate,steered_correct_rate,flip_rate,n
v_deception,14,0.5,0.82,6.92,0.94,0.9,0.06,50
v_deception,14,1.0,0.98,11.02,0.94,0.84,0.12,50
v_deception,14,2.0,1.0,24.16,0.94,0.56,0.4,50
v_deception,14,3.0,1.0,79.48,0.94,0.16,0.78,50
v_deception,14,5.0,1.0,96.06,0.94,0.0,0.94,50
v_deception,16,0.5,0.8,7.6,0.94,0.86,0.12,50
v_deception,16,1.0,0.94,11.7,0.94,0.8,0.16,50
v_deception,16,2.0,0.96,16.52,0.94,0.68,0.28,50
v_deception,16,3.0,1.0,88.06,0.94,0.38,0.58,50
v_deception,16,5.0,1.0,85.7,0.94,0.04,0.92,50
v_deception,17,0.5,0.84,8.94,0.94,0.84,0.1,50
v_deception,17,1.0,0.98,19.74,0.94,0.9,0.08,50
v_deception,17,2.0,1.0,39.3,0.94,0.68,0.28,50
v_deception,17,3.0,1.0,73.74,0.94,0.38,0.58,50
v_deception,17,5.0,1.0,73.46,0.94,0.0,0.94,50
v_deception,18,0.5,0.84,13.34,0.94,0.86,0.12,50
v_deception,18,1.0,0.96,23.34,0.94,0.86,0.12,50
v_deception,18,2.0,1.0,94.48,0.94,0.6,0.36,50
v_deception,18,3.0,1.0,83.2,0.94,0.5,0.48,50
v_deception,18,5.0,1.0,45.44,0.94,0.0,0.94,50
v_deception,19,0.5,0.84,10.06,0.94,0.94,0.06,50
v_deception,19,1.0,0.92,34.32,0.94,0.92,0.06,50
v_deception,19,2.0,1.0,102.54,0.94,0.7,0.3,50
v_deception,19,3.0,1.0,107.64,0.94,0.32,0.64,50
v_deception,19,5.0,1.0,-0.7,0.94,0.0,0.94,50
v_deception,20,0.5,0.8,7.74,0.94,0.88,0.1,50
v_deception,20,1.0,0.94,23.98,0.94,0.82,0.16,50
v_deception,20,2.0,1.0,103.34,0.94,0.62,0.38,50
v_deception,20,3.0,1.0,114.56,0.94,0.54,0.44,50
v_deception,20,5.0,1.0,122.6,0.94,0.02,0.92,50
v_deception,21,0.5,0.72,8.82,0.94,0.92,0.04,50
v_deception,21,1.0,0.96,19.26,0.94,0.84,0.14,50
v_deception,21,2.0,1.0,103.14,0.94,0.74,0.26,50
v_deception,21,3.0,1.0,112.38,0.94,0.62,0.38,50
v_deception,21,5.0,1.0,107.1,0.94,0.1,0.84,50
v_deception,22,0.5,0.74,9.58,0.94,0.94,0.04,50
v_deception,22,1.0,0.92,22.46,0.94,0.94,0.04,50
v_deception,22,2.0,1.0,102.34,0.94,0.82,0.18,50
v_deception,22,3.0,1.0,111.54,0.94,0.56,0.4,50
v_deception,22,5.0,1.0,112.88,0.94,0.1,0.84,50
v_mistake,14,0.5,0.52,0.36,0.94,0.88,0.06,50
v_mistake,14,1.0,0.64,3.24,0.94,0.88,0.08,50
v_mistake,14,2.0,0.84,5.12,0.94,0.8,0.14,50
v_mistake,14,3.0,0.94,7.88,0.94,0.8,0.16,50
v_mistake,14,5.0,0.98,11.64,0.94,0.76,0.2,50
v_mistake,16,0.5,0.64,1.52,0.94,0.92,0.04,50
v_mistake,16,1.0,0.74,4.84,0.94,0.88,0.1,50
v_mistake,16,2.0,0.84,6.26,0.94,0.88,0.1,50
v_mistake,16,3.0,0.9,7.72,0.94,0.82,0.14,50
v_mistake,16,5.0,0.98,25.74,0.94,0.84,0.12,50
v_mistake,17,0.5,0.64,4.32,0.94,0.9,0.08,50
v_mistake,17,1.0,0.74,9.14,0.94,0.88,0.1,50
v_mistake,17,2.0,0.9,17.24,0.94,0.96,0.04,50
v_mistake,17,3.0,0.98,36.86,0.94,0.8,0.16,50
v_mistake,17,5.0,1.0,66.34,0.94,0.7,0.26,50
v_mistake,18,0.5,0.62,2.88,0.94,0.94,0.02,50
v_mistake,18,1.0,0.76,6.38,0.94,0.88,0.08,50
v_mistake,18,2.0,0.86,13.94,0.94,0.86,0.14,50
v_mistake,18,3.0,1.0,23.22,0.94,0.84,0.14,50
v_mistake,18,5.0,1.0,55.04,0.94,0.64,0.3,50
v_mistake,19,0.5,0.5,1.52,0.94,0.96,0.0,50
v_mistake,19,1.0,0.78,4.2,0.94,0.9,0.06,50
v_mistake,19,2.0,0.88,8.6,0.94,0.88,0.1,50
v_mistake,19,3.0,0.96,16.56,0.94,0.9,0.1,50
v_mistake,19,5.0,1.0,46.72,0.94,0.74,0.22,50
v_mistake,20,0.5,0.46,-0.28,0.94,0.96,0.0,50
v_mistake,20,1.0,0.64,2.8,0.94,0.9,0.06,50
v_mistake,20,2.0,0.82,8.52,0.94,0.86,0.12,50
v_mistake,20,3.0,0.92,13.94,0.94,0.8,0.2,50
v_mistake,20,5.0,0.98,47.08,0.94,0.82,0.16,50
v_mistake,21,0.5,0.4,0.26,0.94,0.94,0.0,50
v_mistake,21,1.0,0.58,1.44,0.94,0.94,0.02,50
v_mistake,21,2.0,0.76,6.86,0.94,0.86,0.1,50
v_mistake,21,3.0,0.86,11.86,0.94,0.88,0.08,50
v_mistake,21,5.0,0.9,25.92,0.94,0.88,0.1,50
v_mistake,22,0.5,0.36,1.12,0.94,0.96,0.0,50
v_mistake,22,1.0,0.6,2.08,0.94,0.96,0.0,50
v_mistake,22,2.0,0.76,5.68,0.94,0.94,0.04,50
v_mistake,22,3.0,0.82,12.22,0.94,0.94,0.04,50
v_mistake,22,5.0,0.9,27.6,0.94,0.86,0.12,50
