layer,explained_var
0,0.8198527097702026
1,0.7259088158607483
2,0.7199604511260986
3,0.6531144976615906
4,0.6950134038925171
5,0.6499815583229065
6,0.6406793594360352
7,0.6508710384368896
8,0.7106427550315857
9,0.7222299575805664
10,0.6939306259155273
11,0.6528259515762329
12,0.5993775129318237
13,0.5631691217422485
14,0.5385419130325317
15,0.5587762594223022
16,0.5612970590591431
17,0.5918975472450256
18,0.6626492738723755
19,0.662016749382019
20,0.6618438959121704
21,0.6843170523643494
22,0.7033306360244751
23,0.771649181842804
24,0.7446848154067993
25,0.6948256492614746
26,0.6882151365280151
27,0.6594101190567017
28,0.6694173216819763
29,0.7671626210212708
30,0.7514739632606506
31,0.7330788373947144
32,0.7173479199409485
33,0.7062891721725464
34,0.6960262060165405
35,0.706650972366333
36,0.7042068839073181
37,0.6996285915374756
38,0.6932447552680969
39,0.6833215355873108
40,0.6658257246017456
41,0.5860261917114258
