layer,3-Way LR,3-Way MLP,Cascaded LR,Cascaded MLP
0,0.8168037789807243,0.8714829481333994,0.8129919957663557,0.8685220059984655
1,0.7738169754884666,0.830675077078522,0.768554012442657,0.8299490614751238
2,0.819797257410718,0.8672241189348684,0.8089565840005207,0.8625552515259945
3,0.798150938706852,0.8306420716085909,0.7965915692983022,0.832936896599972
4,0.8850320368128151,0.9065338499383474,0.8810381140023099,0.9100782847873616
5,0.954317885920361,0.9584366189772704,0.9524681360467572,0.9595952397919192
6,0.9200912079260865,0.9376661834607832,0.916499203104428,0.940625
7,0.8805956831719006,0.9013617421063892,0.8763026119907972,0.9030384588143636
8,0.9331900860400582,0.9394683076387258,0.9301026464632358,0.9379800853485064
9,0.979493252977569,0.9678666277231166,0.9793887704335466,0.9687678265830004
10,0.9788443198988042,0.9662561989205122,0.9788897576231432,0.9681655960028552
11,0.9783886644547126,0.966449425560248,0.9786810687890848,0.9669356566450048
12,0.980338447899992,0.9675788983418594,0.9805176336746304,0.9693085523036388
13,0.9812495902894846,0.9698744172268408,0.9823562891291976,0.9709721132586834
14,0.982547156816137,0.971564499977868,0.984145040881621,0.973188819167142
15,0.9836316211992951,0.9722584134286512,0.984639453847248,0.9729460344582088
16,0.9829812565713664,0.9714935697602736,0.984201537147737,0.9724103514650316
17,0.9832586886154304,0.9725763476914344,0.984149548653067,0.9731964642144284
18,0.982833739390404,0.9731531080237396,0.9849982225382156,0.9741176470588236
19,0.9829760436775006,0.97380002868628,0.9851340778149228,0.97380037021216
20,0.983547657464516,0.9734944176894188,0.985199943076704,0.9739279099586836
21,0.9829100028039336,0.9735814231483362,0.985274240591876,0.9737966391341498
22,0.983284552465807,0.9734958485083955,0.98478168112644,0.973986173473024
23,0.9833282522355766,0.9728657993354036,0.9847708511243952,0.9736429690839152
24,0.9831305846108576,0.9724966859221394,0.9854248133665128,0.9739575921445852
25,0.983123586979238,0.9729313849228796,0.984943181818182,0.9738190096755834
26,0.9829156497874442,0.9728038793297518,0.9848689351424308,0.9736654804270464
27,0.9836943106364562,0.9727386274942011,0.9847968172776356,0.9734689522725656
