layer,3-Way LR,3-Way MLP,Cascaded LR,Cascaded MLP
0,0.6080617939123781,0.6363321959481552,0.6208736245415138,0.6517931225223564
1,0.5868897741926776,0.6313077283257291,0.5983917999469824,0.6375173691523853
2,0.6299966285925732,0.6600986439928849,0.6296455239893571,0.6677883716582539
3,0.6286400325099085,0.6462439828535241,0.6248481693562381,0.6588278863068234
4,0.6867431136060127,0.6943970762918318,0.6655124653739612,0.7000661688250307
5,0.7168846928039815,0.733059146585747,0.7035938590369853,0.7261469180973825
6,0.6971380520871807,0.7145878927912991,0.6862898324216375,0.7195668409260643
7,0.6840763067882831,0.6933165624065596,0.6743761412051126,0.698927738927739
8,0.70457239729608,0.715530326345016,0.6899930020993702,0.7163140573577809
9,0.7357749430320621,0.7292632996315647,0.7262730959891843,0.7401145862684324
10,0.7375612348039084,0.7373693470963033,0.732566498921639,0.7449802964908988
11,0.739438701596361,0.7444786818215154,0.7336457019282754,0.7438280296630058
12,0.7436027561527567,0.7444741173238363,0.7450483856380573,0.7571321321321322
13,0.7504518122171465,0.7615345489462023,0.7523103669137158,0.7634642688121155
14,0.7607168394242056,0.7634407040521008,0.7626110043028472,0.7662104766399245
15,0.7745797014637319,0.7699333542990423,0.7722043258168431,0.782149259364091
16,0.7726532880032518,0.7823557839775589,0.7747318235995232,0.7840994724943482
17,0.7768701641069431,0.7802210743296831,0.7791682002208318,0.7880956865699755
18,0.7856174993562623,0.791189826290866,0.7880081678113978,0.7972159518434914
19,0.7917637392814582,0.7888529626458666,0.7911433621732255,0.7918127546669194
20,0.7863639401176348,0.7904307422328144,0.7860547714739695,0.7956259426847662
21,0.7782336880640884,0.7827839885801178,0.7823167319529939,0.788681745055361
22,0.7729100367312873,0.786924164365854,0.7748905653348235,0.7849861865294846
23,0.7702231559186109,0.7775469837305587,0.7709725315515962,0.7842025699168557
24,0.7636349345354978,0.7777965954857443,0.7646185260813069,0.7821828797438554
25,0.7619125590885574,0.7724186538041786,0.7623026926648097,0.7840726378511302
26,0.7634049340554862,0.7686377795500292,0.7605945896039147,0.7783865482713017
27,0.7563034325516731,0.7657118103831065,0.7603336422613531,0.774449588963432
