layer,explained_var
0,0.6009691953659058
1,0.6115293502807617
2,0.5686706304550171
3,0.5492610931396484
4,0.5495356321334839
5,0.5698070526123047
6,0.5847247838973999
7,0.5903962850570679
8,0.5848897099494934
9,0.6015151143074036
10,0.6120886206626892
11,0.6106964945793152
12,0.6160273551940918
13,0.6174091100692749
14,0.6285991668701172
15,0.6440379619598389
16,0.6355745792388916
17,0.6351600885391235
18,0.6480726003646851
19,0.6498825550079346
20,0.6386245489120483
21,0.6297017335891724
22,0.6066932678222656
23,0.5833908319473267
24,0.5757573246955872
25,0.5713820457458496
26,0.6086861491203308
27,0.7791570425033569
