layer,3-Way LR,3-Way MLP,Cascaded LR,Cascaded MLP
0,0.4279512839201139,0.4784165019248231,0.3175810973167801,0.4624465102552752
1,0.4847733152491371,0.5083148723372235,0.4081410139923678,0.4889402920341188
2,0.5186445650607547,0.5205321647989912,0.4508468657237646,0.5228905479645021
3,0.5068958218990498,0.5328835305779531,0.458592132505176,0.5363365915852104
4,0.5413698899043577,0.5487865359716741,0.4668578175071681,0.5471296952515946
5,0.6060503806222366,0.6036586212015159,0.5831714243013002,0.5986433013001696
6,0.6124438323649553,0.6044383023909842,0.5927574948055803,0.6031520658810167
7,0.6067138525855617,0.6053454724605773,0.6038291605301914,0.6025316455696202
8,0.6093389418136121,0.6014886362399727,0.5912965455361149,0.6065113668257087
9,0.6194112510421179,0.6002033272817606,0.5735049205147615,0.6027938478905037
10,0.6176906981107961,0.6166769594484571,0.5788502920381187,0.6054555680539933
11,0.6385902183527087,0.6264004702530633,0.6399768752709929,0.6342682588169953
12,0.6494532016365796,0.618447856759136,0.6530789245446661,0.6210136674259681
13,0.6570515615255564,0.6388415494747728,0.6540011514104779,0.6357321478188386
14,0.6660607098958896,0.6425569422957912,0.6620945849407058,0.6433156572704437
15,0.6632112896920621,0.6381394367982718,0.6644793152639087,0.6342703771719169
16,0.6754884907824059,0.6447796886343401,0.6794450007152053,0.6458362788067298
17,0.6808954087738689,0.6466151184778278,0.689556916939735,0.6521739130434783
18,0.6829455221452667,0.6432853322225428,0.6904117395640404,0.6521372328458943
19,0.6866988713983435,0.6601278799802265,0.6946520989074181,0.6577790384342647
20,0.7176324203165801,0.6920764525850452,0.7239368510880387,0.6920183869619724
21,0.725487013091249,0.6892880118472292,0.731030577576444,0.6929267259635747
22,0.7255655384856711,0.6957708898634044,0.7339943342776204,0.7000849617672048
23,0.7262140863473496,0.6944144617781668,0.7368124118476728,0.69668911335578
24,0.7299973900933111,0.6974214916385902,0.7388786894506426,0.6985273687135315
25,0.7215162539663573,0.7007466472309233,0.7339268051434223,0.6986607142857143
26,0.7186168139080504,0.6928828050860474,0.7265514310002834,0.6940434477925719
27,0.711909837935824,0.68968055570124,0.7205128205128205,0.6924274593064402
28,0.7048609906044939,0.6833858944151221,0.7140396210163652,0.6897421524663677
29,0.7074004427506246,0.6854578854009244,0.7150630011454754,0.6917293233082706
30,0.7054782652763064,0.6850843585057923,0.7157563625965113,0.6856507848312265
31,0.7076469039706076,0.6838534903109215,0.7104923209415818,0.6873056262369239
32,0.7067663497467482,0.6738998678724585,0.715738221394816,0.6863489385631941
33,0.7104226458507235,0.6832402428222961,0.7169757079200805,0.6840995360607338
34,0.7118227936491683,0.677935433518817,0.7136678200692042,0.6838328408611228
35,0.7084550617243095,0.6741637528627809,0.7115746776763726,0.6774739216239075
36,0.7025981921322146,0.6852497948457087,0.707918649935093,0.6799776598715442
37,0.7019600640379273,0.6772215296612872,0.7105794176996253,0.6785264042582995
38,0.709239945053721,0.6681279819962326,0.7125250788191458,0.6721080776808331
39,0.698977538555738,0.6716549435768228,0.7028828045777198,0.6807616914029684
40,0.7039670850774218,0.6703511459951302,0.7079543814060921,0.6759504247319315
41,0.7013633173255548,0.6762838679631396,0.7078928312816799,0.6820083682008368
