layer,explained_var
0,0.6750713586807251
1,0.6746864318847656
2,0.6156189441680908
3,0.5799871683120728
4,0.5803859829902649
5,0.5942599773406982
6,0.6119768023490906
7,0.6023546457290649
8,0.5888022780418396
9,0.6014405488967896
10,0.6125701665878296
11,0.6031072735786438
12,0.6038414835929871
13,0.6203541159629822
14,0.6416870355606079
15,0.6493901014328003
16,0.6394025087356567
17,0.6388654708862305
18,0.6337695121765137
19,0.6336570382118225
20,0.6209123134613037
21,0.6136269569396973
22,0.6119875907897949
23,0.604164719581604
24,0.5894891619682312
25,0.5878678560256958
26,0.5825924873352051
27,0.6709175109863281
