layer,explained_var
0,0.6667537093162537
1,0.676789402961731
2,0.6180741786956787
3,0.5860142707824707
4,0.5854160189628601
5,0.6001717448234558
6,0.6185375452041626
7,0.6179021000862122
8,0.6047996282577515
9,0.6177603006362915
10,0.6344822645187378
11,0.6223243474960327
12,0.6213361024856567
13,0.623123288154602
14,0.6367132663726807
15,0.653444766998291
16,0.6429702043533325
17,0.6393539905548096
18,0.6413086652755737
19,0.6450362205505371
20,0.6365935802459717
21,0.6298948526382446
22,0.6143234968185425
23,0.6078280806541443
24,0.5892870426177979
25,0.5871133208274841
26,0.5792614817619324
27,0.659633457660675
