layer,explained_var
0,0.9856629967689514
1,0.906662106513977
2,0.9234951138496399
3,0.894705057144165
4,0.8781208992004395
5,0.8946434259414673
6,0.8817497491836548
7,0.9082157611846924
8,0.9511568546295166
9,0.9499717354774475
10,0.9303734302520752
11,0.9048858880996704
12,0.8822675347328186
13,0.8805437684059143
14,0.8858799934387207
15,0.8901105523109436
16,0.8642066717147827
17,0.8939043283462524
18,0.9016598463058472
19,0.8965033292770386
20,0.8609908819198608
21,0.8627033233642578
22,0.8456081748008728
23,0.8401826024055481
24,0.8492261171340942
25,0.8444032669067383
26,0.8530495166778564
27,0.864162266254425
28,0.8820635676383972
29,0.9059057831764221
30,0.8968925476074219
31,0.8923644423484802
32,0.8868921995162964
33,0.8825775384902954
34,0.8773021697998047
35,0.872347354888916
36,0.8626965284347534
37,0.8535258173942566
38,0.8420617580413818
39,0.8281568884849548
40,0.8189350366592407
41,0.8284356594085693
