layer,3-Way LR,3-Way MLP,Cascaded LR,Cascaded MLP
0,0.7884820245443448,0.7809382467083924,0.7887700534759359,0.783696682464455
1,0.7928359492590435,0.780339539897897,0.7915336804972283,0.7886508396062536
2,0.7937021616148509,0.7832858775324293,0.7965412004069176,0.7962456003128666
3,0.7975833795963576,0.7894768528704907,0.8030848329048843,0.8057356118640738
4,0.7957739723838795,0.7932585457774458,0.8003430531732418,0.8083267871170463
5,0.7962459819268526,0.793163257089012,0.80248833592535,0.8012581089050521
6,0.8023813489303071,0.7936504993099388,0.8020006898930666,0.8020484538113059
7,0.8032419210550626,0.7960955368161221,0.8028561476837339,0.8088784128854842
8,0.8125775113420541,0.8063529457564277,0.8168517539220871,0.8094395280235989
9,0.8142230848908463,0.8042108908736312,0.8197128168764404,0.8140544808527438
10,0.8219317329206607,0.8139910848404645,0.8270596590909091,0.8195694716242662
11,0.826013109814898,0.8064400873473019,0.8296164139161463,0.818342151675485
12,0.8318099318963968,0.8091455838310632,0.8313513513513513,0.8211350293542075
13,0.8289212771582128,0.8136528917697055,0.8315541885290393,0.8220858895705522
14,0.8296783318470228,0.8194773858613331,0.8330914368650217,0.8256339689404364
15,0.8305376342857335,0.821565687078768,0.830030903472096,0.8270409171773078
16,0.8312554314784695,0.8220182601693107,0.832,0.8243670886075949
17,0.837221824420135,0.8269276722290917,0.8344954128440367,0.8319559228650137
18,0.83518880839101,0.8359858041857045,0.8379227499537978,0.83811029847796
19,0.8372942483480624,0.8314530290861202,0.8378728923476005,0.8410033576930673
20,0.8403523817934628,0.8367283778236378,0.8392757140190406,0.8466692944422546
21,0.8432063058347412,0.8383879973817334,0.844907838391361,0.8483533819759417
22,0.8427711518220636,0.8401739835352184,0.8412787436904094,0.8497532082922014
23,0.8382328979335953,0.8397558089982755,0.8441461595824012,0.854727737369766
24,0.8409154780205252,0.8406341384595668,0.8400297619047619,0.8473840078973347
25,0.8408544297834455,0.8319913621790456,0.8407524678711119,0.8405394684648949
26,0.8473244059208425,0.8349400995270482,0.8483156523357528,0.8448480063166206
27,0.8466463203844812,0.8335867292941901,0.8486657958574361,0.8447352766210589
28,0.8464135275326093,0.825182027396729,0.8503819638531768,0.8399841959699723
29,0.8472008122769168,0.8309810770530696,0.8485746019992595,0.8469106650924833
30,0.8467686759078837,0.8319997392726185,0.850437697895325,0.8407009159697332
31,0.8476056638106135,0.8277134294976568,0.8497869975921467,0.8446640316205534
32,0.8445131499772554,0.8322576631860643,0.847457627118644,0.8390804597701149
33,0.845773047199132,0.8318283253668438,0.8466076696165191,0.8431643322154271
34,0.8477935843116698,0.8440872906220015,0.8498509687034277,0.8468110470892112
35,0.8496428667405518,0.8445899163011603,0.8501392757660167,0.8538704581358609
