layer,3-Way LR,3-Way MLP,Cascaded LR,Cascaded MLP
0,0.7094782806171096,0.7110901081342502,0.7112983770287141,0.7264773994339138
1,0.7136788339586051,0.7161436605330185,0.7115902964959568,0.7202027263194687
2,0.7572264519150742,0.7615112094989269,0.7525244430197147,0.7663110022739199
3,0.7528721808997422,0.7469065006174367,0.7526951446867147,0.7442109013181333
4,0.794525165622479,0.7844104279668749,0.7862775384115113,0.7929694400282635
5,0.7713896541618631,0.7626395005893672,0.765623736761258,0.7794311878136831
6,0.7407528941881544,0.7290216303993022,0.7333547764554519,0.7338995046001415
7,0.7333706163584871,0.7202013521816976,0.7280617164898746,0.7262767273369853
8,0.7830506059966875,0.7742882017259609,0.7800179577177373,0.7801518629701572
9,0.8208597724369724,0.8014874267868549,0.8205382202410434,0.8037799768208969
10,0.8157389019983281,0.7939138346272315,0.8121232141382443,0.797335701598579
11,0.8244079922088183,0.8055305784247739,0.8259895444361464,0.8057873246937689
12,0.8205820519449691,0.8008116850119356,0.8197264815582262,0.8019229057242054
13,0.83499320983771,0.8138328048327356,0.8378016085790885,0.820211724935504
14,0.8486925414216927,0.8269561290001567,0.8496113551875634,0.8311780968518684
15,0.8478955141221981,0.824400927848799,0.8472739586860819,0.8297529538131042
16,0.8534076205698256,0.8311578579162073,0.8538382453735435,0.835544475113525
17,0.8579723999653653,0.8345516292140586,0.8568244170096022,0.8393208221626453
18,0.8578854846317892,0.8351139337106614,0.8578523719815037,0.8445078459343794
19,0.8607564677362065,0.8400676373087599,0.8635107118175536,0.8460434236497398
20,0.8633885796716791,0.845889241672174,0.8654111955770559,0.8464028776978417
21,0.8658826677303294,0.8473476209290401,0.8677193890758478,0.8487282463186078
22,0.8659692617379957,0.8435449016141551,0.8674803081450706,0.8487621097954791
23,0.8671980829483867,0.8479731248412639,0.8676432348097426,0.8476607925574738
24,0.8661059881601199,0.8478964223521835,0.8641783307413168,0.847350904020869
25,0.8605027006829558,0.8506352093974489,0.8593142758442007,0.8483327357475797
26,0.8607004796704644,0.8441669203498847,0.8587405368203717,0.8485391647248611
27,0.8617271270939717,0.8441225942738175,0.859298636714396,0.8466301714080589
28,0.8603410117155853,0.8440790536259097,0.8566555811375458,0.8425684777727885
29,0.8574298947122401,0.837273861379812,0.8555640567882343,0.8407951289398281
30,0.8542453331390002,0.8411576353787398,0.8540696197171169,0.8441418846291652
31,0.853552203605364,0.840693216303762,0.8553469803788329,0.8410797282803003
32,0.8535272624181831,0.8407230708045065,0.8541118560638208,0.8452317051350868
33,0.8535842565827837,0.8384058604260746,0.8574821852731591,0.8442733052744694
34,0.8542502295405201,0.8386739401364464,0.8562970481265331,0.8435483870967742
35,0.8514737057095088,0.840020893820688,0.8532110091743119,0.8428762840553818
