layer,explained_var
0,0.6164597272872925
1,0.5415385365486145
2,0.5392260551452637
3,0.5240190625190735
4,0.5303095579147339
5,0.5507333278656006
6,0.5257703065872192
7,0.5162051916122437
8,0.515302300453186
9,0.5211483836174011
10,0.5435028672218323
11,0.5442036390304565
12,0.5470795035362244
13,0.5623162388801575
14,0.5837271213531494
15,0.5863017439842224
16,0.5995434522628784
17,0.6090013980865479
18,0.6237977147102356
19,0.6420387625694275
20,0.6472194790840149
21,0.6548943519592285
22,0.67588871717453
23,0.6767536997795105
24,0.6731295585632324
25,0.6792284250259399
26,0.6736660003662109
27,0.6656559705734253
28,0.6579863429069519
29,0.6486335396766663
30,0.6482227444648743
31,0.6461349725723267
32,0.6493458151817322
33,0.6421924829483032
34,0.6396013498306274
35,0.7966834306716919
