model,classification,prompt,thinking,lr_min,lr_mean,lr_max,mlp_min,mlp_mean,mlp_max,mlp-lr,n,p_wilcoxon
gemma4,3way,concise,off,0.6136,0.7859,0.8537,0.6435,0.7856,0.8344,-0.0003,42,0.9605
gemma4,cascaded,concise,off,0.5923,0.7765,0.8575,0.6378,0.7873,0.8392,0.0108,42,0.4131
qwen2.5,3way,concise,off,0.5709,0.7594,0.8319,0.6555,0.7716,0.8205,0.0122,28,0.0946
qwen2.5,3way,debate,off,0.6665,0.7534,0.8107,0.6903,0.7555,0.802,0.0021,28,0.8139
qwen2.5,cascaded,concise,off,0.5308,0.7475,0.8324,0.6445,0.7736,0.8236,0.026,28,0.0009
qwen2.5,cascaded,debate,off,0.6686,0.7531,0.8142,0.7008,0.7626,0.8114,0.0095,28,0.0002
qwen3,3way,concise,on,0.331,0.4972,0.577,0.3954,0.4773,0.5296,-0.02,36,0.0037
qwen3,cascaded,concise,on,0.3117,0.4894,0.5689,0.3788,0.4828,0.5355,-0.0067,36,0.2145
