layer,f1_macro,f1_deception,f1_truth,cm_deception_deception,cm_norm_deception_deception,cm_deception_truth,cm_norm_deception_truth,cm_truth_deception,cm_norm_truth_deception,cm_truth_truth,cm_norm_truth_truth,auroc,n_samples
0,0.5198634388778207,0.31625589302705026,0.7234709847285913,119,0.24435318275154005,368,0.75564681724846,143,0.17610837438423646,669,0.8238916256157636,0.5820869629706756,1299
1,0.5385404097839434,0.35840013154108596,0.7186806880268007,142,0.2915811088295688,345,0.7084188911704312,163,0.20073891625615764,649,0.7992610837438424,0.6096006159557454,1299
2,0.5494744132095524,0.376705386103946,0.7222434403151587,151,0.31006160164271046,336,0.6899383983572895,163,0.20073891625615764,649,0.7992610837438424,0.6153874393605021,1299
3,0.561088210859136,0.39353765232350807,0.7286387693947638,158,0.324435318275154,329,0.675564681724846,158,0.19458128078817735,654,0.8054187192118226,0.6500994588237196,1299
4,0.5690679540445739,0.41409642018801646,0.7240394879011314,173,0.35523613963039014,314,0.6447638603696099,173,0.21305418719211822,639,0.7869458128078818,0.6543274147491073,1299
5,0.5725989489359945,0.4203743616595383,0.7248235362124508,177,0.36344969199178645,310,0.6365503080082136,174,0.21428571428571427,638,0.7857142857142857,0.667351954801696,1299
6,0.5765149910932065,0.42514513250953767,0.7278848496768753,179,0.3675564681724846,308,0.6324435318275154,171,0.2105911330049261,641,0.7894088669950738,0.6629326461022899,1299
7,0.5946879202206709,0.45233693251312507,0.7370389079282167,192,0.3942505133470226,295,0.6057494866529775,166,0.2044334975369458,646,0.7955665024630542,0.6815651671716316,1299
8,0.6266616469667032,0.5051883485573719,0.7481349453760344,222,0.45585215605749485,265,0.5441478439425051,168,0.20689655172413793,644,0.7931034482758621,0.7151922286564083,1299
9,0.6356177545692856,0.5189928967084307,0.7522426124301406,230,0.4722792607802875,257,0.5277207392197125,167,0.20566502463054187,645,0.7943349753694581,0.7207326584489411,1299
10,0.6395587623628396,0.5259732752983292,0.75314424942735,235,0.48254620123203285,252,0.5174537987679672,169,0.20812807881773399,643,0.791871921182266,0.7274867088253489,1299
11,0.6352320193371702,0.5211191578657846,0.7493448808085559,233,0.4784394250513347,254,0.5215605749486653,173,0.21305418719211822,639,0.7869458128078818,0.733514523784107,1299
12,0.6561040833250666,0.5565306010963821,0.7556775655537511,257,0.5277207392197125,230,0.4722792607802875,179,0.2204433497536946,633,0.7795566502463054,0.7494610968864879,1299
13,0.6771060657687122,0.5811631026704142,0.7730490288670103,266,0.5462012320328542,221,0.4537987679671458,161,0.19827586206896552,651,0.8017241379310345,0.7753829397965789,1299
14,0.6815360116158111,0.5911426341850314,0.7719293890465908,276,0.5667351129363449,211,0.433264887063655,169,0.20812807881773399,643,0.791871921182266,0.7761061953178051,1299
15,0.6826392525789897,0.5958597786201533,0.7694187265378262,282,0.5790554414784395,205,0.4209445585215606,176,0.21674876847290642,636,0.7832512315270936,0.7906843203061026,1299
16,0.7045768585579026,0.62550906978407,0.7836446473317353,298,0.6119096509240246,189,0.38809034907597534,167,0.20566502463054187,645,0.7943349753694581,0.798011315925607,1299
