layer,explained_var
0,0.8914445042610168
1,0.8121389746665955
2,0.7898524403572083
3,0.7767660617828369
4,0.7756009697914124
5,0.777900218963623
6,0.7158124446868896
7,0.6963948011398315
8,0.6732637882232666
9,0.6661849021911621
10,0.6746115684509277
11,0.6747763156890869
12,0.665968656539917
13,0.6810173392295837
14,0.6962814927101135
15,0.6886821985244751
16,0.6869773864746094
17,0.6912747621536255
18,0.6998590230941772
19,0.7096083164215088
20,0.7047820091247559
21,0.6970484256744385
22,0.7061223983764648
23,0.6994649171829224
24,0.6897969245910645
25,0.6949912905693054
26,0.6894257068634033
27,0.6895284056663513
28,0.6786059737205505
29,0.6659128665924072
30,0.6583309173583984
31,0.6487718224525452
32,0.639968752861023
33,0.6256758570671082
34,0.631944477558136
35,0.7007198333740234
