layer_idx,layer_pct,k,variance_explained,f1_macro_val,f1_macro_train,f1_gap,train_time_sec
8,25%,16,0.5405822396278381,0.6386892919773852,0.6406534329541381,0.001964140976752904,0.36
8,25%,32,0.6311933994293213,0.674331513483688,0.6801411382855798,0.005809624801891733,1.88
8,25%,64,0.7174967527389526,0.7242599031736664,0.7348892289048686,0.010629325731202233,7.61
8,25%,128,0.7933159470558167,0.758106552146469,0.7727840238429394,0.014677471696470379,16.23
8,25%,256,0.8613494038581848,0.7696442975095462,0.799845174998159,0.030200877488612776,32.68
8,25%,512,0.9192440509796143,0.77716645257546,0.8370974950949859,0.05993104251952586,66.07
17,50%,16,0.562429666519165,0.7590466057841061,0.7594106312647178,0.00036402548061165163,0.42
17,50%,32,0.654447078704834,0.7754037301552322,0.7819375867644651,0.006533856609232891,2.49
17,50%,64,0.736847996711731,0.8037448230810688,0.8135580304315916,0.009813207350522823,9.28
17,50%,128,0.8086389899253845,0.8146667829184645,0.8328912094682458,0.018224426549781292,16.9
17,50%,256,0.871726393699646,0.8171215821951848,0.8489839363759645,0.03186235418077965,33.25
17,50%,512,0.9263511896133423,0.8118074043928925,0.8735673958286306,0.06175999143573818,63.96
26,75%,16,0.5522436499595642,0.758707215708856,0.7579559583224458,-0.0007512573864102423,0.42
26,75%,32,0.6482306122779846,0.7937914989813745,0.799105576824509,0.005314077843134535,1.72
26,75%,64,0.7342895865440369,0.8085074174641317,0.814610184457182,0.006102766993050346,6.64
26,75%,128,0.8088533878326416,0.8193327464216952,0.8358113463131392,0.016478599891444068,15.73
26,75%,256,0.8740056753158569,0.8243037163580995,0.8555463017020496,0.03124258534395008,31.32
26,75%,512,0.9293662905693054,0.820305117468035,0.8786536569417867,0.058348539473751626,62.53
