layer,3-Way LR,3-Way MLP,Cascaded LR,Cascaded MLP
0,0.653882271944671,0.6599091404075347,0.6489966734628179,0.6594097726173198
1,0.6726970644708878,0.662414996179142,0.6682119205298013,0.666182346531057
2,0.7136484397372531,0.7103668374423601,0.7061452513966481,0.7118479970954859
3,0.716833948535881,0.7047401633407638,0.7073362543534434,0.7135200974421437
4,0.7493273283153538,0.7287238228948775,0.738783312717868,0.7355182005079212
5,0.7369608970507858,0.7105938871092682,0.7278865631330182,0.7213712618526623
6,0.7035129281067847,0.6855201048764894,0.6951385733757383,0.6920381780838468
7,0.6967738305413922,0.6786189101068433,0.6931856706972539,0.6861349693251534
8,0.7332172691879087,0.7129899367192256,0.7285324852339845,0.7202540923527975
9,0.7733120783870859,0.7435317790510819,0.7687207042414542,0.747140423460696
10,0.760093458103256,0.7267442789868636,0.7568991182869576,0.7329524735626596
11,0.7730116170226836,0.7417700162929688,0.7679286286171795,0.7524632039897823
12,0.7673302279514718,0.7361182883715516,0.7709115739160123,0.7441860465116279
13,0.7875416265991497,0.7512861293867921,0.7804597701149425,0.7576424553680606
14,0.798742774859653,0.7588732774189101,0.798518689966439,0.7637115408001945
15,0.7998524767792119,0.7674230458181466,0.7997673065735893,0.7706983001100648
16,0.8001433689180233,0.7731243470414644,0.80319211360169,0.7827569410618607
17,0.8036087094106044,0.7787912442067698,0.8072203869749882,0.7829363150218765
18,0.8061546482086541,0.7841232691370755,0.8072289156626506,0.7829993928354584
19,0.8078946272788559,0.7839840326841093,0.8111689540937056,0.7809547183703522
20,0.8089319715697284,0.7916973777804346,0.8155270655270656,0.7843282659745396
21,0.8074639959588505,0.7892225160057127,0.8090630162851074,0.7924019607843137
22,0.8113511662088879,0.7945212745573527,0.8140059347181009,0.79279500061267
23,0.811699324998463,0.7944349889016056,0.8129352059483064,0.7941680960548885
24,0.8108933714691539,0.789808060814272,0.8115220483641536,0.7923786109403811
25,0.8086203492119672,0.7922665915069558,0.8099173553719008,0.7915325575637534
26,0.809328462012559,0.7912303848705619,0.8123302232195583,0.794517224648229
27,0.805984310951029,0.7933897091503057,0.8121026607016718,0.7936274509803921
28,0.8063854520243092,0.792008603187727,0.8100637845499645,0.7955490339936415
29,0.8020026445462991,0.7821521502726413,0.8077464788732395,0.7960550347010836
30,0.8069507141043191,0.7928447265043028,0.8094624663309521,0.7953187858100695
31,0.8055219344829612,0.7921204258806311,0.808825255251731,0.7934065934065934
32,0.8076367064974155,0.7918651326401296,0.8068568744863215,0.792803818382083
33,0.8075032043693948,0.7924206065121778,0.8052100445904717,0.7873180360226992
34,0.8081250616220809,0.7794775076952174,0.8010758975558414,0.7848751835535976
35,0.8058217142916151,0.7868191676595065,0.8043909844680602,0.7895443996579944
