layer,3-Way LR,3-Way MLP,Cascaded LR,Cascaded MLP
0,0.535163117497238,0.5610104993592772,0.5512305812532728,0.5589535089269931
1,0.5852002133513318,0.5695698758147866,0.5769489247311828,0.5716297078493489
2,0.6227518057554693,0.6050404735113082,0.6033633429590624,0.6049910873440285
3,0.6247154704624069,0.6191972992311185,0.6059155411181398,0.6313528990694345
4,0.6316536029119607,0.6334586332617058,0.6356589147286822,0.6375608876059895
5,0.6931646691180489,0.6781449432566236,0.6833474218089602,0.6788766788766789
6,0.7019441522539314,0.6695730777763764,0.6835572181601769,0.674507090971982
7,0.7064167765514395,0.6820542079759164,0.6936177533115431,0.6888385861048233
8,0.6945374716008315,0.6779819207282871,0.6934656175162505,0.6872506504770165
9,0.6890883233844548,0.6732500372415291,0.6784214945424013,0.6791471658866355
10,0.6981051440102369,0.6785658540967487,0.6782111634162744,0.6837184688657612
11,0.7167551962349717,0.6940202152829148,0.7155641340586067,0.707756960252145
12,0.7237739387669498,0.7071039995854904,0.7215078386471728,0.7151832460732984
13,0.7429650172673625,0.7137449423119724,0.7373060648801129,0.714461863660384
14,0.7437881429892117,0.7246296935110903,0.742231638418079,0.7257340241796201
15,0.7417876830695229,0.7182983796527804,0.7420208076177041,0.726764500349406
16,0.7495821906532072,0.7335452585502132,0.7539891285288445,0.7413491786088781
17,0.7554352420461561,0.7221065278467085,0.7544910179640718,0.7337979094076655
18,0.7544114351778168,0.7255523652187478,0.7568042142230026,0.7319874695440306
19,0.755468813013947,0.7306135140036043,0.7585601404741001,0.734163888401474
20,0.7731152488844215,0.7430111182115511,0.7738095238095238,0.7487179487179487
21,0.7736393836775138,0.7453080193022332,0.7755815987405982,0.7538623595505618
22,0.7720744179173156,0.7358266556199837,0.771353711790393,0.7424162721374715
23,0.7731193901938369,0.7550376816062979,0.7774855339295108,0.7581676750216076
24,0.7712258213114611,0.7546615306139561,0.7751883651655861,0.7540810953133228
25,0.7686527775361608,0.756984250433433,0.7694742394935818,0.757070086070613
26,0.76997140301089,0.7496557704316619,0.7676056338028169,0.7498248072880168
27,0.769088214627403,0.7503086768734393,0.7622549019607843,0.7581427581427581
28,0.7584509812227715,0.7405105339730185,0.761371588523443,0.7496985357450474
29,0.7599961704414961,0.7330457318274581,0.7562084644980762,0.7388888888888889
30,0.7565431584524447,0.7350757505299461,0.7531601123595506,0.7475238922675934
31,0.7613947693441524,0.7427302568402738,0.7631210636808957,0.7524991382281971
32,0.7602081608002876,0.7336398371144106,0.7621536853110298,0.73791789364282
33,0.7608472334162495,0.7369207112940519,0.7638575152041703,0.742599965379955
34,0.7576629685872123,0.7295710829717513,0.7580589254766031,0.7423764458464774
35,0.7616527286678751,0.733352805195733,0.7594011142061281,0.7388512927294811
36,0.761665396104661,0.7335163921235841,0.7583333333333333,0.7349228611500701
37,0.7626175146041183,0.7345934479801967,0.7622694048033415,0.7386541471048513
38,0.7620152528757105,0.7328661903926111,0.7569070373588184,0.7350157728706624
39,0.7618597869183568,0.7349559544940598,0.7609183497324357,0.7368421052631579
40,0.7662029442026743,0.7266767726420438,0.7667069590744259,0.7375438596491228
41,0.7630386409823032,0.7276607292985714,0.758298755186722,0.7376306620209059
