layer,3-Way LR,3-Way MLP,Cascaded LR,Cascaded MLP
0,0.3921631205795529,0.425424417804334,0.3463402193318031,0.4202724358974359
1,0.423574120933054,0.4489539455816019,0.3551401869158878,0.4301621410431725
2,0.4706665603543513,0.4707620182495619,0.3944997629208155,0.463494509728376
3,0.4924388024420534,0.4991536164701268,0.4198614318706697,0.4914416127805249
4,0.512102856154339,0.5063894030865103,0.4616085668717247,0.5013343499809378
5,0.6163031083816064,0.5887734636481186,0.5901833234772325,0.5828937452901282
6,0.6297975449714754,0.5871330617550082,0.5962854349951124,0.568642447418738
7,0.6254977641717993,0.5937455776547813,0.6182445381372174,0.5925505766685574
8,0.6162757241853625,0.5989496646258587,0.6116825150397827,0.5877891543420554
9,0.6167477835324672,0.5798860473409277,0.5742851429714058,0.5769743101807802
10,0.6223759143977772,0.5913625908071227,0.5498652291105122,0.5852830188679246
11,0.658716305789518,0.6128746758329674,0.6556079170593779,0.6178463855421686
12,0.6687724341014258,0.6261215086090388,0.6650449101796407,0.6250471520181063
13,0.6854520698636878,0.6245847463737233,0.6844461022006714,0.6283467515446546
14,0.6842699784891216,0.6343311655681203,0.6883963494132985,0.6261700095510984
15,0.6838702237517803,0.6353872426203763,0.689063083240015,0.6360890902227255
16,0.6892261634400877,0.6491925387699264,0.6972201352366642,0.6526912181303116
17,0.6888879858577719,0.6426294697569203,0.6983532934131736,0.6410159211523881
18,0.6881137459681526,0.6467254805417477,0.70093808630394,0.6404239212717638
19,0.6918683076852882,0.6472172178986669,0.7024390243902439,0.6476226273256906
20,0.7081522635191831,0.6651057553271977,0.7171089779785432,0.6667910447761194
21,0.706806872408678,0.6631410821339607,0.7190968955785513,0.6691630780752668
22,0.70865446231177,0.6547803499236194,0.7143126532151612,0.6553799849510911
23,0.708697285611079,0.6712989481501388,0.72103974383123,0.6632322075939706
24,0.7057941844837676,0.6638662978528893,0.7175543885971493,0.6692883895131087
25,0.7041932103362651,0.6666522545697822,0.7150608044901777,0.6725398313027179
26,0.7049875079149321,0.6608903704799074,0.7147405881251171,0.663153933007151
27,0.7055556102659379,0.6627918645854287,0.704954954954955,0.6647651644799392
28,0.6952756525809572,0.6472060276886923,0.7027536778574123,0.6517155453325666
29,0.6923258959171085,0.6419039393025894,0.6965530231682049,0.6450265755504936
30,0.6920497233075539,0.6460301343919692,0.6965491372843211,0.6546421112587811
31,0.6957270540275227,0.6533547595425832,0.70477268439917,0.655185610409491
32,0.6908912486406578,0.648922049692432,0.7019867549668874,0.6417825176156923
33,0.6899717345256098,0.6503798891482339,0.7021074615530662,0.6464415187941233
34,0.688148356792303,0.6455249807063496,0.696411619517752,0.6551400112760759
35,0.6924054203313975,0.6383297391100539,0.6982807481579445,0.6434285714285715
36,0.6923570872567303,0.6438804751136864,0.6953554502369669,0.6468485418626528
37,0.6932553709702074,0.6438719786738603,0.7003418154196733,0.645809632157755
38,0.6915377956285456,0.6436412756806507,0.6952399013844112,0.6468708889306521
39,0.6915464608360213,0.6405077208229135,0.695303550973654,0.6496528429348846
40,0.6934962313961867,0.6369564934419987,0.702217125382263,0.6510494752623688
41,0.6900966142835419,0.6404674378116295,0.6949895218136788,0.6458451637327276
