layer,3-Way LR,3-Way MLP,Cascaded LR,Cascaded MLP
0,0.852006437392802,0.853337328904107,0.8533199771036062,0.8513523926947677
1,0.8646255336628894,0.8702989583649439,0.8659611992945326,0.8683040935672515
2,0.8852908705490572,0.889899195790192,0.8824791065749574,0.8881091617933723
3,0.8971888990547836,0.8893490100402872,0.8971517810664089,0.892018779342723
4,0.8995899802559112,0.8947662177558613,0.8990470518165575,0.8950689413414349
5,0.981765853891858,0.9694979654001328,0.9821174236429816,0.9697258641239572
6,0.9811936571915542,0.9699123503106508,0.9825811559778306,0.9695576343745044
7,0.9812656960312202,0.9700166741454372,0.9822945613338626,0.9704621248213436
8,0.9810222209413596,0.9694669137106408,0.9821810406272272,0.9694128863112736
9,0.9775788142042006,0.9665663923500988,0.9761641673243884,0.9660371369623868
10,0.9575173773121508,0.9548686347678554,0.954336833916764,0.9537805167101208
11,0.9812489976738772,0.9706917714950762,0.9836792901283472,0.9711973339681028
12,0.9814986471962678,0.970786680798846,0.9834192780642602,0.9715737652850563
13,0.9815705490692002,0.9705437077833674,0.9839580686149936,0.9711294416243654
14,0.9805483064332748,0.970600848595746,0.9830858413404272,0.9707166097928736
15,0.9802196545916512,0.9704002376093508,0.9837262840358816,0.9709615994922248
16,0.980308839289994,0.9701485659369656,0.9829351535836176,0.971369656594496
17,0.9779239544220644,0.9710888098045872,0.9827039035226912,0.9709754163362412
18,0.9785030596095214,0.9709421842112343,0.9834140147607332,0.9714194982534138
19,0.9788215889840238,0.9708659164837165,0.983255297198635,0.97144217039505
20,0.9791270879011078,0.9706887066830427,0.983255297198635,0.9710570137181824
21,0.9787342054399448,0.970750712945652,0.9833253930443068,0.9710064341885772
22,0.9798548747865108,0.9707068581147356,0.9836481981266868,0.971047830570318
23,0.9788762154399628,0.970767280369014,0.9831932773109244,0.9709523809523808
24,0.9787972296625772,0.9708435251748702,0.9822833081751012,0.9710064341885772
25,0.9786498182569716,0.9707415238273588,0.9831665872637764,0.9711065248452136
26,0.9785835763670748,0.9709894826683622,0.9838978345363688,0.9712789590606156
27,0.9792604812117652,0.9708725787505844,0.9829969807722868,0.9708614529575228
28,0.979918523588578,0.9706268681433212,0.9831852791878172,0.9709615994922248
29,0.9793498920190244,0.9708546894043704,0.982776410826256,0.9709477694872202
30,0.979654290305126,0.9706957327623146,0.9831719320527068,0.9708029197080292
31,0.9792791637229102,0.9708403418755512,0.98326592116742,0.9707890141292268
32,0.9790519119487608,0.9707567709792884,0.9833359784161244,0.9707982859863514
33,0.9788898714447036,0.9706812194807116,0.9833386226594732,0.9709708121827412
34,0.9788959224532562,0.970859828686819,0.9838748113432362,0.9710294467814906
35,0.9784125084795136,0.9707828778561514,0.9827627293669076,0.9709030365495916
36,0.978954934961484,0.9707069001470592,0.9827654673973472,0.970889188546046
37,0.9781689874407646,0.9707837321336,0.9830347233232916,0.9708753273549718
38,0.9782428442159956,0.9709581843468308,0.9833306874107,0.9705532185094056
39,0.9788030654532917,0.9706244619834982,0.9830885271933308,0.9705485433039612
40,0.9785736137708224,0.9708427287634928,0.9832579544552884,0.97077045274027
41,0.9787353521774372,0.970780002608263,0.983721114905106,0.97087994921844
